"Gene","Cancer","TDL","IDG_Status","Kinase_score_percent","rank","Kinase_Type","Kinase_Group","Kinase_Family","Kinase_protein","MOA"
"SPHK2","READ","Tchem","Studied",0,31,"Non-protein kinase","lipid kinase","","sphingosine kinase 2","no"
"SRC","READ","Tclin","Studied",2.38095238095238,29,"protein kinase","TK group","SRC family","proto-oncogene tyrosine-protein kinase src","no"
"SRMS","READ","Tchem","Studied",14.2857142857143,18,"protein kinase","TK group","SRC family","tyrosine-protein kinase srms","no"
"SRPK1","READ","Tchem","Studied",14.2857142857143,18,"protein kinase","CMGC group","SRPK family","SRSF protein kinase 1","no"
"SRPK2","READ","Tchem","Studied",0,31,"protein kinase","CMGC group","SRPK family","SRSF protein kinase 2","no"
"SRPK3","READ","Tchem","Understudied",0,31,"protein kinase","CMGC group","SRPK family","SRSF protein kinase 3","no"
"STK10","READ","Tchem","Studied",2.04081632653061,30,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase 10","no"
"STK11","READ","Tchem","Studied",0,31,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase stk11","no"
"STK16","READ","Tchem","Studied",0,31,"protein kinase","other group","NAK family","serine/threonine-protein kinase 16","no"
"STK17A","READ","Tchem","Understudied",0,31,"protein kinase","CAMK group","DAPK family","serine/threonine-protein kinase 17a","no"
"STK17B","READ","Tchem","Understudied",0,31,"protein kinase","CAMK group","DAPK family","serine/threonine-protein kinase 17b","no"
"STK24","READ","Tchem","Studied",13.6054421768707,19,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase 24","no"
"STK25","READ","Tchem","Studied",4.42176870748299,27,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase 25","no"
"STK26","READ","Tchem","Studied",0,31,"protein kinase","STE group","STE Ser/Thr protein kinase family","serine/threonine protein kinase 26","no"
"STK3","READ","Tchem","Understudied",23.8095238095238,12,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase 3","no"
"STK31","READ","Tchem","Understudied",14.2857142857143,18,"protein kinase","other group","other-UNIQUE family","serine/threonine-protein kinase 31","no"
"STK32A","READ","Tchem","Understudied",0,31,"protein kinase","AGC group","YANK family","serine/threonine-protein kinase 32a","no"
"STK32B","READ","Tchem","Understudied",7.14285714285714,24,"protein kinase","AGC group","YANK family","serine/threonine-protein kinase 32b","no"
"STK32C","READ","Tbio","Understudied",14.2857142857143,18,"protein kinase","AGC group","YANK family","serine/threonine-protein kinase 32c","no"
"STK33","READ","Tchem","Understudied",0,31,"protein kinase","CAMK group","CAMK-UNIQUE family","serine/threonine-protein kinase 33","no"
"STK35","READ","Tchem","Studied",0,31,"protein kinase","other group","NKF4 family","serine/threonine-protein kinase 35","no"
"STK36","READ","Tbio","Understudied",14.2857142857143,18,"protein kinase","other group","ULK family","serine/threonine-protein kinase 36","no"
"STK38","READ","Tbio","Studied",0,31,"protein kinase","AGC group","NDR family","serine/threonine-protein kinase 38","no"
"STK38L","READ","Tchem","Understudied",0,31,"protein kinase","AGC group","NDR family","serine/threonine-protein kinase 38-like","no"
"STK39","READ","Tbio","Studied",0,31,"protein kinase","STE group","STE20 family","STE20/sps1-related proline-alanine-rich protein kinase","no"
"STK4","READ","Tchem","Studied",0,31,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase 4","no"
"STK40","READ","Tbio","Understudied",0,31,"protein kinase","CAMK group","SGK495 family","serine/threonine-protein kinase 40","no"
"STKLD1","READ","Tdark","Understudied",2.38095238095238,29,"protein kinase","other group","SGK071 family","serine/threonine kinase-like domain-containing protein stkld1","no"
"STRADA","READ","Tbio","Studied",7.14285714285714,24,"protein kinase","STE group","STE20 family","STE20-related kinase adapter protein alpha","no"
"STRADB","READ","Tbio","Studied",0,31,"protein kinase","STE group","STE20 family","STE20-related kinase adapter protein beta","no"
"STYK1","READ","Tbio","Studied",0,31,"protein kinase","TK group","TK-UNIQUE family","tyrosine-protein kinase styk1","no"
"SYK","READ","Tchem","Studied",0,31,"protein kinase","TK group","SYK family","tyrosine-protein kinase syk","no"
"TAB1","READ","Tbio","Studied",0,31,"protein kinase","Unclassified protein","","TGF-beta-activated kinase 1 and map3k7-binding protein 1","no"
"TAF1","READ","Tchem","Studied",0,31,"protein kinase","Atypical group","TAF1 family","transcription initiation factor tfiid subunit 1","no"
"TAOK1","READ","Tchem","Understudied",0,31,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase tao1","no"
"TAOK2","READ","Tchem","Understudied",0,31,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase tao2","no"
"TAOK3","READ","Tchem","Studied",0,31,"protein kinase","STE group","STE20 family","serine/threonine-protein kinase tao3","no"
"TBCK","READ","Tbio","Understudied",4.42176870748299,27,"protein kinase","other group","TBCK family","TBCdomain-containing protein kinase-like protein","no"
"TBK1","READ","Tchem","Studied",0,31,"protein kinase","other group","IKK family","serine/threonine-protein kinase tbk1","no"
"TEC","READ","Tchem","Studied",0,31,"protein kinase","TK group","TEC family","tyrosine-protein kinase tec","no"
"TEK","READ","Tclin","Studied",0,31,"protein kinase","TK group","TIE family","angiopoietin-1 receptor","no"
"TESK1","READ","Tchem","Understudied",2.38095238095238,29,"protein kinase","TKL group","LISK family","dual specificity testis-specific protein kinase 1","no"
"TESK2","READ","Tchem","Understudied",0,31,"protein kinase","TKL group","LISK family","dual specificity testis-specific protein kinase 2","no"
"TEX14","READ","Tbio","Studied",0,31,"protein kinase","other group","NKF5 family","inactive serine/threonine-protein kinase tex14","no"
"TGFBR1","READ","Tchem","Studied",11.2244897959184,21,"protein kinase","TKL group","STKR family","TGF-beta receptor type-1","no"
"TGFBR2","READ","Tchem","Studied",0,31,"protein kinase","TKL group","STKR family","TGF-beta receptor type-2","no"
"TIE1","READ","Tchem","Studied",18.0272108843537,16,"protein kinase","TK group","TIE family","tyrosine-protein kinase receptor tie-1","no"
"TK1","READ","Tchem","Studied",0,31,"Non-protein kinase","nucleoside/nucleotide kinase","Thymidine kinase family","thymidine kinase, cytosolic","no"
"TK2","READ","Tchem","Studied",0,31,"Non-protein kinase","nucleoside/nucleotide kinase","DCK/DGK family","thymidine kinase 2, mitochondrial","no"
"TLK1","READ","Tchem","Understudied",0,31,"protein kinase","other group","TLK family","serine/threonine-protein kinase tousled-like 1","no"
"TLK2","READ","Tchem","Understudied",0,31,"protein kinase","other group","TLK family","serine/threonine-protein kinase tousled-like 2","no"
"TNIK","READ","Tchem","Studied",0,31,"protein kinase","STE group","STE20 family","TRAF2 and nck-interacting protein kinase","no"
"TNK1","READ","Tchem","Studied",0,31,"protein kinase","TK group","ACK family","non-receptor tyrosine-protein kinase tnk1","no"
"TNK2","READ","Tchem","Studied",23.8095238095238,12,"protein kinase","TK group","ACK family","activated cdc42 kinase 1","no"
"TNNI3K","READ","Tchem","Studied",0,31,"protein kinase","TKL group","MLK family","serine/threonine-protein kinase tnni3k","no"
"TP53RK","READ","Tbio","Understudied",14.2857142857143,18,"protein kinase","other group","BUD32 family","TP53-regulating kinase","no"
"TPK1","READ","Tbio","Studied",0,31,"Non-protein kinase","other small molecule kinase","Thiamine pyrophosphokinase family","thiamin pyrophosphokinase 1","no"
"TRIB1","READ","Tbio","Studied",14.2857142857143,18,"protein kinase","CAMK group","TRBL family","tribbles homolog 1","no"
"TRIB2","READ","Tbio","Studied",0,31,"protein kinase","CAMK group","TRBL family","tribbles homolog 2","no"
"TRIB3","READ","Tbio","Studied",14.2857142857143,18,"protein kinase","CAMK group","TRBL family","tribbles homolog 3","no"
"TRIO","READ","Tbio","Studied",0,31,"protein kinase","CAMK group","TRIO family","triple functional domain protein","no"
"TRPM6","READ","Tchem","Studied",0,31,"protein kinase","Atypical group","Alpha family","transient receptor potential cation channel subfamily m member 6","no"
"TSSK1B","READ","Tchem","Understudied",0,31,"protein kinase","CAMK group","TSSK family","testis-specific serine/threonine-protein kinase 1","no"
"TSSK2","READ","Tchem","Understudied",0,31,"protein kinase","CAMK group","TSSK family","testis-specific serine/threonine-protein kinase 2","no"
"TSSK3","READ","Tbio","Understudied",0,31,"protein kinase","CAMK group","TSSK family","testis-specific serine/threonine-protein kinase 3","no"
"TSSK4","READ","Tbio","Understudied",0,31,"protein kinase","CAMK group","TSSK family","testis-specific serine/threonine-protein kinase 4","no"
"TSSK6","READ","Tbio","Understudied",33.3333333333333,2,"protein kinase","CAMK group","TSSK family","testis-specific serine/threonine-protein kinase 6","no"
"TTBK1","READ","Tbio","Understudied",14.2857142857143,18,"protein kinase","CK1 group","TTBK family","Tau-tubulin kinase 1","no"
"TTBK2","READ","Tbio","Understudied",0,31,"protein kinase","CK1 group","TTBK family","Tau-tubulin kinase 2","no"
"TTK","READ","Tchem","Studied",14.2857142857143,18,"protein kinase","other group","TTK family","dual specificity protein kinase ttk","no"
"TTN","READ","Tbio","Studied",0,31,"protein kinase","CAMK group","MLCK family","Titin","no"
"TXK","READ","Tchem","Studied",0,31,"protein kinase","TK group","TEC family","tyrosine-protein kinase txk","no"
"TYK2","READ","Tclin","Studied",0,31,"protein kinase","TK group","JAKA family","non-receptor tyrosine-protein kinase tyk2","no"
"TYRO3","READ","Tchem","Studied",14.2857142857143,18,"protein kinase","TK group","AXL family","tyrosine-protein kinase receptor tyro3","no"
"UCK1","READ","Tbio","Studied",2.38095238095238,29,"Non-protein kinase","nucleoside/nucleotide kinase","Uridine kinase family","uridine-cytidine kinase 1","no"
"UCK2","READ","Tbio","Studied",0,31,"Non-protein kinase","nucleoside/nucleotide kinase","Uridine kinase family","uridine-cytidine kinase 2","no"
"UCKL1","READ","Tdark","Studied",14.2857142857143,18,"Non-protein kinase","nucleoside/nucleotide kinase","uridine kinase family","uridine-cytidine kinase-like 1","no"
"UHMK1","READ","Tbio","Studied",0,31,"protein kinase","other group","KIS family","serine/threonine-protein kinase kist","no"
"ULK1","READ","Tchem","Studied",0,31,"protein kinase","other group","ULK family","serine/threonine-protein kinase ulk1","no"
"ULK2","READ","Tchem","Studied",0,31,"protein kinase","other group","ULK family","serine/threonine-protein kinase ulk2","no"
"ULK3","READ","Tchem","Studied",0,31,"protein kinase","other group","ULK family","serine/threonine-protein kinase ulk3","no"
"ULK4","READ","Tbio","Understudied",0,31,"protein kinase","other group","ULK family","serine/threonine-protein kinase ulk4","no"
"VRK1","READ","Tbio","Studied",0,31,"protein kinase","CK1 group","VRK family","serine/threonine-protein kinase VRK1","no"
"VRK2","READ","Tbio","Understudied",0,31,"protein kinase","CK1 group","VRK family","serine/threonine-protein kinase VRK2","no"
"VRK3","READ","Tbio","Understudied",0,31,"protein kinase","CK1 group","VRK family","inactive serine/threonine-protein kinase vrk3","no"
"WEE1","READ","Tchem","Studied",0,31,"protein kinase","other group","WEE family","Wee1-like protein kinase","no"
"WEE2","READ","Tbio","Understudied",0,31,"protein kinase","other group","WEE family","Wee1-like protein kinase 2","no"
"WNK1","READ","Tchem","Studied",0,31,"protein kinase","other group","WNK family","serine/threonine-protein kinase wnk1","no"
"WNK2","READ","Tchem","Understudied",0,31,"protein kinase","other group","WNK family","serine/threonine-protein kinase wnk2","no"
"WNK3","READ","Tchem","Understudied",7.14285714285714,24,"protein kinase","other group","WNK family","serine/threonine-protein kinase wnk3","no"
"WNK4","READ","Tbio","Studied",0,31,"protein kinase","other group","WNK family","serine/threonine-protein kinase wnk4","no"
"XYLB","READ","Tbio","Studied",0,31,"Non-protein kinase","carbohydrate kinase","FGGY kinase family","xylulose kinase","no"
"YES1","READ","Tclin","Studied",0,31,"protein kinase","TK group","SRC family","tyrosine-protein kinase yes","no"
"ZAP70","READ","Tchem","Studied",0,31,"protein kinase","TK group","SYK family","tyrosine-protein kinase zap-70","no"
"AAK1","PRAD","Tchem","Studied",0,12,"protein kinase","other group","NAK family","AP2-associated protein kinase 1","no"
"AATK","PRAD","Tbio","Studied",0,12,"protein kinase","TK group","LMR family","serine/threonine-protein kinase lmtk1","no"
"ABL1","PRAD","Tclin","Studied",3.33333333333333,11,"protein kinase","TK group","ABL family","tyrosine-protein kinase abl1","no"
"ABL2","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","TK group","ABL family","abelson tyrosine-protein kinase 2","no"
"ACVR1","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","TKL group","STKR family","activin receptor type-1","no"
"ACVR1B","PRAD","Tchem","Studied",0,12,"protein kinase","TKL group","STKR family","activin receptor type-1b","no"
"ACVR1C","PRAD","Tbio","Studied",3.33333333333333,11,"protein kinase","TKL group","STKR family","activin receptor type-1c","no"
"ACVR2A","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","TKL group","STKR family","activin receptor type-2a","no"
"ACVR2B","PRAD","Tchem","Studied",0,12,"protein kinase","TKL group","STKR family","activin receptor type-2b","no"
"ACVRL1","PRAD","Tchem","Studied",0,12,"protein kinase","TKL group","STKR family","serine/threonine-protein kinase receptor r3","no"
"ADCK1","PRAD","Tdark","Understudied",6.66666666666667,10,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 1","no"
"ADCK2","PRAD","Tbio","Understudied",3.33333333333333,11,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 2","no"
"ADCK5","PRAD","Tdark","Understudied",23.3333333333333,7,"protein kinase","Atypical group","ABC1 family","uncharacterized aarf domain-containing protein kinase 5","no"
"ADK","PRAD","Tchem","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","","adenosine kinase","no"
"ADPGK","PRAD","Tbio","Studied",3.33333333333333,11,"Non-protein kinase","carbohydrate kinase","ADP-dependent glucokinase family","ADP-dependent glucokinase","no"
"AK1","PRAD","Tbio","Studied",3.33333333333333,11,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","adenylate kinase isoenzyme 1","no"
"AK2","PRAD","Tbio","Studied",3.33333333333333,11,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","adenylate kinase 2, mitochondrial","no"
"AK3","PRAD","Tbio","Studied",6.66666666666667,10,"Non-protein kinase","nucleoside/nucleotide kinase","Adenylate kinase family","GTP:AMP phosphotransferase AK3, mitochondrial","no"
"AK4","PRAD","Tbio","Studied",3.33333333333333,11,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 4, mitochondrial","no"
"AK5","PRAD","Tbio","Studied",20,8,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 5, mitochondrial","no"
"AK6","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 6, mitochondrial","no"
"AK8","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 8, mitochondrial","no"
"AK9","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","adenylate kinase 9, mitochondrial","no"
"AKT1","PRAD","Tchem","Studied",0,12,"protein kinase","AGC group","AKT family","RAC-alpha serine/threonine-protein kinase","no"
"AKT2","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","AGC group","AKT family","RAC-beta serine/threonine-protein kinase","no"
"AKT3","PRAD","Tchem","Studied",0,12,"protein kinase","AGC group","AKT family","RAC-gamma serine/threonine-protein kinase","no"
"ALK","PRAD","Tclin","Studied",3.33333333333333,11,"protein kinase","TK group","ALK family","alk tyrosine kinase receptor","no"
"ALPK1","PRAD","Tbio","Studied",3.33333333333333,11,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 1","no"
"ALPK2","PRAD","Tbio","Understudied",0,12,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 2","no"
"ALPK3","PRAD","Tdark","Understudied",0,12,"protein kinase","Atypical group","Alpha family","alpha-protein kinase 3","no"
"AMHR2","PRAD","Tbio","Studied",43.3333333333333,3,"protein kinase","TKL group","STKR family","anti-muellerian hormone type-2 receptor","no"
"ANKK1","PRAD","Tbio","Studied",3.33333333333333,11,"protein kinase","TKL group","RIPK family","ankyrin repeat and protein kinase domain-containing protein 1","no"
"ARAF","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","TKL group","RAF family","serine/threonine-protein kinase a-raf","no"
"ATM","PRAD","Tchem","Studied",0,12,"protein kinase","Atypical group","PIKK family","serine-protein kinase atm","no"
"ATR","PRAD","Tchem","Studied",23.3333333333333,7,"protein kinase","Atypical group","PIKK family","serine/threonine-protein kinase atr","no"
"AURKA","PRAD","Tchem","Studied",30,5,"protein kinase","other group","AUR family","aurora kinase a","no"
"AURKB","PRAD","Tchem","Studied",46.6666666666667,2,"protein kinase","other group","AUR family","aurora kinase b","no"
"AURKC","PRAD","Tchem","Studied",0,12,"protein kinase","other group","AUR family","aurora kinase c","no"
"AXL","PRAD","Tchem","Studied",0,12,"protein kinase","TK group","AXL family","tyrosine-protein kinase receptor ufo","no"
"BCKDK","PRAD","Tbio","Understudied",0,12,"protein kinase","Atypical group","PDHK family","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial","no"
"BLK","PRAD","Tchem","Studied",0,12,"protein kinase","TK group","SRC family","tyrosine-protein kinase blk","no"
"BMP2K","PRAD","Tchem","Studied",0,12,"protein kinase","other group","NAK family","BMP-2-inducible protein kinase","no"
"BMPR1A","PRAD","Tchem","Studied",0,12,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-1a","no"
"BMPR1B","PRAD","Tchem","Studied",0,12,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-1b","no"
"BMPR2","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","TKL group","STKR family","bone morphogenetic protein receptor type-2","no"
"BMX","PRAD","Tchem","Studied",6.66666666666667,10,"protein kinase","TK group","TEC family","cytoplasmic tyrosine-protein kinase bmx","no"
"BRAF","PRAD","Tclin","Studied",23.3333333333333,7,"protein kinase","TKL group","RAF family","serine/threonine-protein kinase b-raf","no"
"BRSK1","PRAD","Tchem","Understudied",0,12,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase brsk1","no"
"BRSK2","PRAD","Tchem","Understudied",20,8,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase brsk2","no"
"BTK","PRAD","Tclin","Studied",3.33333333333333,11,"protein kinase","TK group","TEC family","tyrosine-protein kinase btk","no"
"BUB1","PRAD","Tchem","Studied",50,1,"protein kinase","other group","BUB family","mitotic checkpoint serine/threonine-protein kinase bub1","no"
"BUB1B","PRAD","Tbio","Studied",46.6666666666667,2,"protein kinase","other group","BUB family","mitotic checkpoint serine/threonine-protein kinase bub1 beta","no"
"CAMK1","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1","no"
"CAMK1D","PRAD","Tchem","Understudied",0,12,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1d","no"
"CAMK1G","PRAD","Tchem","Understudied",3.33333333333333,11,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type 1g","no"
"CAMK2A","PRAD","Tchem","Studied",0,12,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit alpha","no"
"CAMK2B","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit beta","no"
"CAMK2D","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit delta","no"
"CAMK2G","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CAMK group","CAMK2 family","calcium/calmodulin-dependent protein kinase type ii subunit gamma","no"
"CAMK4","PRAD","Tbio","Studied",0,12,"protein kinase","CAMK group","CAMK1 family","calcium/calmodulin-dependent protein kinase type iv","no"
"CAMKK1","PRAD","Tchem","Understudied",0,12,"protein kinase","other group","CAMKK family","calcium/calmodulin-dependent protein kinase kinase 1","no"
"CAMKK2","PRAD","Tchem","Studied",20,8,"protein kinase","other group","CAMKK family","calcium/calmodulin-dependent protein kinase kinase 2","no"
"CAMKV","PRAD","Tbio","Understudied",23.3333333333333,7,"protein kinase","CAMK group","CAMK-UNIQUE family","CAM kinase-like vesicle-associated protein","no"
"CASK","PRAD","Tchem","Studied",0,12,"protein kinase","CAMK group","CASK family","peripheral plasma membrane protein cask","no"
"CDC42BPA","PRAD","Tchem","Understudied",3.33333333333333,11,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck alpha","no"
"CDC42BPB","PRAD","Tbio","Understudied",0,12,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck beta","no"
"CDC42BPG","PRAD","Tbio","Understudied",0,12,"protein kinase","AGC group","DMPK family","serine/threonine-protein kinase mrck gamma","no"
"CDC7","PRAD","Tchem","Studied",26.6666666666667,6,"protein kinase","other group","CDC7 family","cell division cycle 7-related protein kinase","no"
"CDK1","PRAD","Tchem","Studied",46.6666666666667,2,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 1","no"
"CDK10","PRAD","Tbio","Understudied",6.66666666666667,10,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 10","no"
"CDK11A","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 11a","no"
"CDK11B","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 11b","no"
"CDK12","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 12","no"
"CDK13","PRAD","Tchem","Understudied",3.33333333333333,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 13","no"
"CDK14","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 14","no"
"CDK15","PRAD","Tchem","Understudied",6.66666666666667,10,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 15","no"
"CDK16","PRAD","Tchem","Understudied",23.3333333333333,7,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 16","no"
"CDK17","PRAD","Tchem","Understudied",26.6666666666667,6,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 17","no"
"CDK18","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 18","no"
"CDK19","PRAD","Tchem","Understudied",6.66666666666667,10,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 19","no"
"CDK2","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 2","no"
"CDK20","PRAD","Tbio","Understudied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 20","no"
"CDK3","PRAD","Tchem","Studied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 3","no"
"CDK4","PRAD","Tclin","Studied",3.33333333333333,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 4","no"
"CDK5","PRAD","Tchem","Studied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent-like kinase 5","no"
"CDK6","PRAD","Tclin","Studied",3.33333333333333,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 6","no"
"CDK7","PRAD","Tchem","Studied",0,12,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 7","no"
"CDK8","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 8","no"
"CDK9","PRAD","Tchem","Studied",23.3333333333333,7,"protein kinase","CMGC group","CDK family","cyclin-dependent kinase 9","no"
"CDKL1","PRAD","Tchem","Understudied",3.33333333333333,11,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 1","no"
"CDKL2","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 2","no"
"CDKL3","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 3","no"
"CDKL4","PRAD","Tdark","Understudied",0,12,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 4","no"
"CDKL5","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CMGC group","CDKL family","cyclin-dependent kinase-like 5","no"
"CERK","PRAD","Tchem","Studied",0,12,"Non-protein kinase","lipid kinase","","ceramide kinase","no"
"CHEK1","PRAD","Tchem","Studied",0,12,"protein kinase","CAMK group","CAMKL family","serine/threonine-protein kinase chk1","no"
"CHEK2","PRAD","Tchem","Studied",0,12,"protein kinase","CAMK group","RAD53 family","serine/threonine-protein kinase chk2","no"
"CHKA","PRAD","Tchem","Studied",0,12,"Non-protein kinase","other small molecule kinase","Choline/ethanolamine kinase family","choline kinase alpha","no"
"CHKB","PRAD","Tbio","Studied",0,12,"Non-protein kinase","other small molecule kinase","Choline/ethanolamine kinase family","choline/ethanolamine kinase","no"
"CHUK","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","other group","IKK family","inhibitor of nuclear factor kappa-b kinase subunit alpha","no"
"CIT","PRAD","Tchem","Studied",26.6666666666667,6,"protein kinase","AGC group","DMPK family","citron rho-interacting kinase","no"
"CKB","PRAD","Tbio","Studied",3.33333333333333,11,"Non-protein kinase","nucleoside/nucleotide kinase","ATP: guanidophosphotransferase","creatine kinase B-type","no"
"CKM","PRAD","Tbio","Studied",0,12,"Non-protein kinase","other small molecule kinase","ATP:guanido phosphotransferase family","creatine kinase m-type","no"
"CKMT1A","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ATP:guanidophosphotransferase","creatine kinase U-type, mitochondrial","no"
"CKMT2","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ATP: guanidophosphotransferase","creatine kinase S-type, mitochondrial","no"
"CLK1","PRAD","Tchem","Studied",26.6666666666667,6,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk1","no"
"CLK2","PRAD","Tchem","Studied",26.6666666666667,6,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk2","no"
"CLK3","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk3","no"
"CLK4","PRAD","Tchem","Understudied",0,12,"protein kinase","CMGC group","CLK family","dual specificity protein kinase clk4","no"
"CMPK1","PRAD","Tbio","Studied",0,12,"Non-protein kinase","nucleoside/nucleotide kinase","ADK family","UMP-CMP kinase","no"
"CMPK2","PRAD","Tbio","Studied",26.6666666666667,6,"Non-protein kinase","nucleoside/nucleotide kinase","thymidylate kinase family","UMP-CMP kinase","no"
"COQ8A","PRAD","Tbio","Understudied",0,12,"protein kinase","Atypical group","ABC1 family","atypical kinase COQ8A, mitochondrial","no"
"COQ8B","PRAD","Tchem","Understudied",3.33333333333333,11,"protein kinase","Atypical group","ABC1 family","atypical kinase COQ8B, mitochondrial","no"
"CSF1R","PRAD","Tclin","Studied",0,12,"protein kinase","TK group","PDGFR family","macrophage colony-stimulating factor 1 receptor","no"
"CSK","PRAD","Tchem","Studied",0,12,"protein kinase","TK group","CSK family","tyrosine-protein kinase csk","no"
"CSNK1A1","PRAD","Tchem","Studied",0,12,"protein kinase","CK1 group","CK1 family","casein kinase i isoform alpha","no"
"CSNK1A1L","PRAD","Tdark","Understudied",0,12,"protein kinase","CK1 group","CK1 family","casein kinase i isoform alpha-like","no"
"CSNK1D","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CK1 group","CK1 family","casein kinase i isoform delta","no"
"CSNK1E","PRAD","Tchem","Studied",3.33333333333333,11,"protein kinase","CK1 group","CK1 family","casein kinase i isoform epsilon","no"
"CSNK1G1","PRAD","Tchem","Understudied",0,12,"protein kinase","CK1 group","CK1 family","casein kinase i isoform gamma-1","no"
